Date,Pen,Tag,Start_Time,End_Time,Total_Time,Total_Time,Nose_Rub,Water_Lap,Idle
11/02/2022,109,40H,9:38:56,9:39:20,0:00:24,0.4,0,0,0
11/02/2022,108,389H,9:43:15,9:45:51,0:02:36,2.6,0,0,0
11/02/2022,108,409H,9:46:19,9:47:02,0:00:43,0.72,0,0,0
11/02/2022,108,17H,10:00:58,10:02:54,0:01:56,1.93,1,1,0
11/02/2022,108,409H,10:12:45,10:15:35,0:02:50,2.83,1,0,0
11/02/2022,109,365H,10:56:15,10:56:31,0:00:16,0.27,0,1,0
11/02/2022,109,46H,11:06:24,11:07:19,0:00:55,0.92,0,1,0
11/02/2022,108,389H,11:06:42,11:08:16,0:01:34,1.57,0,0,0
11/02/2022,109,369H,11:11:02,11:13:42,0:02:40,2.67,1,1,0
11/02/2022,109,329H,11:13:45,11:16:12,0:02:27,2.45,0,0,0
11/02/2022,109,29H,11:27:16,11:29:17,0:02:01,2.02,0,1,0
11/02/2022,108,389H,11:28:03,11:31:51,0:03:48,3.8,0,1,0
11/02/2022,109,365H,11:30:02,11:37:07,0:07:05,7.08,0,1,0
11/02/2022,109,369H,11:38:09,11:38:22,0:00:13,0.22,0,0,0
11/02/2022,108,27H,11:40:01,11:41:45,0:01:44,1.73,1,0,0
11/02/2022,109,40H,11:40:16,11:43:15,0:02:59,2.98,1,1,0
11/02/2022,109,369H,11:45:03,11:48:20,0:03:17,3.28,1,1,0
11/02/2022,108,63H,11:51:58,11:52:59,0:01:01,1.02,1,1,0
11/02/2022,109,N/A,12:14:36,12:15:36,0:01:00,1,0,1,0
11/02/2022,108,63H,12:15:58,12:17:25,0:01:27,1.45,1,1,0
11/02/2022,108,389H,12:24:44,12:24:52,0:00:08,0.13,0,0,0
11/02/2022,109,29H,12:37:15,12:39:55,0:02:40,2.67,0,1,0
11/02/2022,108,63H,13:02:58,13:03:48,0:00:50,0.83,0,0,0
11/02/2022,109,40H,13:08:18,13:09:11,0:00:53,0.88,0,0,0
11/02/2022,109,329H,13:10:14,13:12:41,0:02:27,2.45,0,0,0
11/02/2022,109,N/A,13:22:47,13:23:48,0:01:01,1.02,0,1,0
11/02/2022,108,409H,13:32:38,13:36:11,0:03:33,3.55,1,1,0
11/02/2022,108,17H,13:38:22,13:40:20,0:01:58,1.97,1,1,0
11/02/2022,109,369H,13:39:24,13:43:22,0:03:58,3.97,1,1,0
11/02/2022,109,369H,13:43:34,13:44:20,0:00:46,0.77,0,1,0
11/02/2022,108,315H,13:43:59,13:46:31,0:02:32,2.53,0,1,0
11/02/2022,101,24H,7:45:39,7:45:57,0:00:18,0.3,0,0,0
11/02/2022,101,N/A,9:36:22,9:36:25,0:00:03,0.05,0,0,0
11/02/2022,101,34H,9:49:30,9:49:55,0:00:25,0.42,0,1,0
11/02/2022,101,N/A,11:07:04,11:07:11,0:00:07,0.12,0,0,0
11/02/2022,101,366H,11:56:10,11:56:50,0:00:40,0.67,0,0,0
11/02/2022,101,22H,13:30:13,13:31:19,0:01:06,1.1,0,0,0
11/02/2022,101,34H,14:19:26,14:19:38,0:00:12,0.2,1,1,0
11/02/2022,101,N/A,14:26:12,14:26:16,0:00:04,0.07,0,0,0
11/02/2022,101,22H,14:41:52,14:43:56,0:02:04,2.07,1,0,0
11/02/2022,101,323H,14:51:37,14:51:43,0:00:06,0.1,0,1,0
11/02/2022,101,385H,15:12:26,15:12:30,0:00:04,0.07,0,0,0
11/02/2022,101,22H,15:17:01,15:18:01,0:01:00,1,1,0,0
11/02/2022,101,N/A,15:37:13,15:37:23,0:00:10,0.17,0,0,0
11/02/2022,101,22H,15:39:48,15:40:44,0:00:56,0.93,0,0,0
11/02/2022,101,57H,16:00:43,16:01:26,0:00:43,0.72,1,0,0
