DATE,PEN,START TIME,END TIME,FILE NAME,,IGNORE
11/02/2022,108/109,7:42,9:14,MAH00337,,00:00:00-10:00:00
11/02/2022,108/109,9:14,10:44,MAH00338,,00:00:00-00:22:18/01:03:15-01:30:53
11/02/2022,108/109,10:44,12:15,MAH00339,,00:00:00-00:11:59
11/02/2022,108/109,12:15,13:46,MAH00340,,
11/02/2022,108/109,13:46,15:17,MAH00341,,
11/02/2022,108/109,15:17,16:24,MAH00342,,
11/02/2022,101,7:26,10:25,MAH00013,,00:58:09-02:02:26/02:43:48-02:59:15
11/02/2022,101,10:25,13:24,MAH00014,,00:00:00-00:00:36
11/02/2022,101,13:24,16:16,MAH00015,,
11/02/2022,114/115,7:58,10:57,MAH00014,,00:30:28-01:41:42/02:15:23-02:55:54
11/02/2022,114/115,10:57,13:56,MAH00015,,
11/02/2022,114/115,13:56,16:25,MAH00016,,
11/02/2022,120/121,7:52,9:23,MAH00447,,00:42:32-01:30:44
11/02/2022,120/121,9:23,10:54,MAH00448,,00:00:00-00:21:14/00:56:55-01:30:48
11/02/2022,120/121,10:54,12:25,MAH00449,,00:00:00-00:06:14
11/02/2022,120/121,12:25,13:55,MAH00450,,
11/02/2022,120/121,13:55,15:26,MAH00451,,
11/02/2022,120/121,15:26,16:31,MAH00452,,
24/02/2022,108/109,9:15,12:19,MAH00041,,00:29:47-01:04:00
24/02/2022,108/109,12:19,15:18,MAH00042,,
24/02/2022,108/109,15:18,17:36,MAH00043,,
24/02/2022,120/121,9:38,11:14,MAH00343,,00:00:00-00:00:06/00:10:23-00:53:09
24/02/2022,120/121,11:14,12:44,MAH00344,,
24/02/2022,120/121,12:44,14:15,MAH00345,,
24/02/2022,120/121,14:15,15:31,MAH00346,,
24/02/2022,104/105,15:35,17:06,MAH00347,,00:00:00-00:00:07
24/02/2022,104/105,17:06,17:41,MAH00348,,
24/02/2022,114/115,9:34,12:39,MAH00016,,00:08:28-00:51:14
24/02/2022,114/115,12:39,15:25,MAH00017,,
24/02/2022,110/111,15:29,17:02,MAH00018,,00:00:00-00:00:11
24/02/2022,101,9:21,10:56,MAH00453,,00:00:00-00:00:06/00:31:12-01:07:44
24/02/2022,101,10:56,12:27,MAH00454,,
24/02/2022,101,12:27,13:57,MAH00455,,
24/02/2022,101,13:57,15:28,MAH00456,,
24/02/2022,101,15:28,16:59,MAH00457,,
24/02/2022,101,16:59,17:42,MAH00458,,
25/02/2022,102/103,8:37,11:40,MAH00044,,
25/02/2022,102/103,11:40,14:39,MAH00045,,
25/02/2022,102/103,14:39,15:53,MAH00046,,
25/02/2022,108/109,8:45,10:19,MAH00349,,
25/02/2022,108/109,10:19,11:49,MAH00350,,
25/02/2022,108/109,11:49,13:20,MAH00351,,
25/02/2022,108/109,13:20,14:51,MAH00352,,
25/02/2022,108/109,14:51,15:57,MAH00353,,
25/02/2022,114/115,8:12,11:12,MAH00019,,
25/02/2022,114/115,11:12,14:11,MAH00020,,
25/02/2022,114/115,14:11,15:56,MAH00021,,
25/02/2022,122/123,8:18,9:50,MAH00459,,
25/02/2022,122/123,9:49,10:02,MAH00460,,
25/02/2022,122/123,10:02,11:33,MAH00461,,
25/02/2022,122/123,11:33,13:04,MAH00462,,
25/02/2022,122/123,13:04,14:35,MAH00463,,
25/02/2022,122/123,14:35,16:05,MAH00464,,
25/02/2022,122/123,16:05,16:06,MAH00465,,
03/05/2022,105/106,9:38,11:13,MAH00354,,
03/05/2022,105/106,11:13,12:44,MAH00355,,
03/05/2022,105/106,12:44,14:15,MAH00356,,
03/05/2022,105/106,14:15,15:46,MAH00357,,
03/05/2022,105/106,15:46,17:16,MAH00358,,
03/05/2022,105/106,17:16,17:34,MAH00359,,
03/05/2022,110/111,9:41,11:17,MAH00466,,
03/05/2022,110/111,11:17,12:47,MAH00467,,
03/05/2022,110/111,12:47,14:18,MAH00468,,
03/05/2022,110/111,14:18,15:49,MAH00469,,
03/05/2022,110/111,15:49,17:20,MAH00470,,
03/05/2022,110/111,17:20,17:36,MAH00471,,
03/05/2022,116/117,9:37,12:42,MAH00017,,
03/05/2022,116/117,12:42,15:41,MAH00018,,
03/05/2022,116/117,15:41,17:23,MAH00019,,
03/05/2022,122/123,9:28,12:34,MAH00048,,
03/05/2022,122/123,12:34,15:33,MAH00049,,
03/05/2022,122/123,15:33,17:22,MAH00050,,
05/05/2022,107,7:37,10:58,MAH00051,,
05/05/2022,107,10:58,13:57,MAH00052,,
05/05/2022,107,13:57,16:31,MAH00053,,
05/05/2022,118,7:43,11:05,MAH00020,,
05/05/2022,118,11:05,14:04,MAH00021,,
05/05/2022,118,14:04,16:39,MAH00022,,
05/05/2022,124,7:41,9:19,MAH00472,,
05/05/2022,124,9:19,11:02,MAH00473,,
05/05/2022,124,11:02,12:32,MAH00474,,
05/05/2022,124,12:32,14:03,MAH00475,,
05/05/2022,124,14:03,15:34,MAH00476,,
05/05/2022,124,15:34,16:36,MAH00477,,
05/05/2022,102/103,7:33,9:09,MAH00360,,
05/05/2022,102/103,9:09,10:51,MAH00361,,
05/05/2022,102/103,10:51,12:23,MAH00362,,
05/05/2022,102/103,12:23,13:53,MAH00363,,
05/05/2022,102/103,13:53,15:24,MAH00364,,
05/05/2022,102/103,15:24,16:33,MAH00365,,
06/05/2022,112,7:30,10:49,MAH00023,,
06/05/2022,112,10:44,12:16,MAH00480,,
06/05/2022,112,12:16,13:46,MAH00481,,
06/05/2022,112,13:46,15:17,MAH00482,,
06/05/2022,112,15:17,16:39,MAH00483,,
06/05/2022,119,7:35,9:13,MAH00366,,
06/05/2022,119,9:12,10:53,MAH00367,,
06/05/2022,119,10:53,12:24,MAH00368,,
06/05/2022,119,12:24,13:55,MAH00369,,
06/05/2022,119,13:55,15:25,MAH00370,,
06/05/2022,119,15:25,16:35,MAH00371,,
06/05/2022,108/109,7:27,9:04,MAH00478,,
06/05/2022,108/109,9:04,10:44,MAH00479,,
06/05/2022,108/109,10:49,13:49,MAH00024,,
06/05/2022,108/109,13:49,16:39,MAH00025,,
06/05/2022,114/115,7:38,9:29,MAH00054,,
06/05/2022,114/115,9:30,12:40,MAH00055,,
06/05/2022,114/115,12:40,15:39,MAH00056,,
06/05/2022,114/115,15:39,16:36,MAH00057,,
09/05/2022,113,7:38,9:15,MAH00484,,
09/05/2022,113,9:15,10:48,MAH00485,,
09/05/2022,113,10:48,12:19,MAH00486,,
09/05/2022,113,12:19,13:55,MAH00487,,
09/05/2022,113,13:55,15:26,MAH00488,,
09/05/2022,113,15:26,16:40,MAH00489,,
09/05/2022,120/121,7:36,10:45,MAH00026,,
09/05/2022,120/121,10:45,12:57,MAH00027,,
09/05/2022,106,7:31,10:41,MAH00058,,
09/05/2022,106,10:41,13:48,MAH00059,,
09/05/2022,106,13:48,16:36,MAH00060,,
09/05/2022,101,7:28,9:04,MAH00372,,
09/05/2022,101,9:04,10:38,MAH00373,,
09/05/2022,101,10:38,12:08,MAH00374,,
09/05/2022,101,12:08,13:44,MAH00375,,
09/05/2022,101,13:44,15:15,MAH00376,,
09/05/2022,101,15:15,16:33,MAH00377,,
13/05/2022,104/105,7:30,10:39,MAH00061,,
13/05/2022,104/105,10:39,13:38,MAH00062,,
13/05/2022,104/105,13:38,16:21,MAH00063,,
13/05/2022,108/109,7:34,9:10,MAH00378,,
13/05/2022,108/109,9:10,10:42,MAH00379,,
13/05/2022,108/109,10:42,12:13,MAH00380,,
13/05/2022,108/109,12:13,13:44,MAH00381,,
13/05/2022,108/109,13:44,15:14,MAH00382,,
13/05/2022,108/109,15:14,16:18,MAH00383,,
13/05/2022,114/115,7:41,9:19,MAH00490,,
13/05/2022,114/115,9:19,10:50,MAH00491,,
13/05/2022,114/115,10:50,12:21,MAH00492,,
13/05/2022,114/115,12:21,13:52,MAH00493,,
13/05/2022,114/115,13:52,15:22,MAH00494,,
13/05/2022,114/115,15:22,16:24,MAH00495,,
13/05/2022,122/123,7:44,10:52,MAH00028,,
13/05/2022,122/123,10:52,13:51,MAH00029,,
13/05/2022,122/123,13:51,16:30,MAH00030,,
17/05/2022,102/103,7:29,10:42,MAH00031,,
17/05/2022,102/103,10:42,13:11,MAH00032,,
17/05/2022,110/111,7:33,9:10,MAH00496,,
17/05/2022,110/111,9:10,10:46,MAH00497,,
17/05/2022,110/111,10:46,12:17,MAH00498,,
17/05/2022,110/111,12:17,13:22,MAH00499,,
17/05/2022,116/117,7:39,9:16,MAH00384,,
17/05/2022,116/117,9:16,10:52,MAH00385,,
17/05/2022,116/117,10:52,12:22,MAH00386,,
17/05/2022,116/117,12:22,13:27,MAH00387,,
17/05/2022,122/123,7:37,10:50,MAH00064,,
17/05/2022,122/123,10:50,13:15,MAH00065,,
18/05/2022,120/121,7:39,9:16,MAH00388,,00:42:31-01:37:12
18/05/2022,120/121,9:16,10:49,MAH00389,,00:00:00-00:15:57
18/05/2022,120/121,10:49,12:19,MAH00390,,
18/05/2022,120/121,12:19,13:50,MAH00391,,
18/05/2022,120/121,13:50,15:21,MAH00392,,
18/05/2022,120/121,15:21,16:07,MAH00393,,
18/05/2022,116/117,7:35,10:46,MAH00066,,00:45:29-01:57:00
18/05/2022,116/117,10:46,13:45,MAH00067,,
18/05/2022,116/117,13:45,16:08,MAH00068,,
18/05/2022,110/111,7:31,10:41,MAH00033,,00:47:40-01:57:40
18/05/2022,111,10:41,13:40,MAH00034-1,,
